cod_ibge,municipio,regional_saude,tmax_max_7d,utci_proxy_max_7d,risco_cumulativo_3d_max_7d,onda_calor_p95_2d_prevista,severidade_onda_calor_max_7d
5100102,Acorizal,ERS Cuiabá,32.5,31.82,4.3463253255373075,0,0
5100201,Água Boa,ERS Água Boa,34.4,33.120000000000005,10.912126781052795,1,1
5100250,Alta Floresta,ERS Alta Floresta,31.0,30.9,6.933506711243975,0,0
5100300,Alto Araguaia,ERS Rondonópolis,29.5,29.1,2.1469051640155943,0,0
5100359,Alto Boa Vista,ERS São Félix do Araguaia,33.0,32.080000000000005,5.726263935651149,0,0
5100409,Alto Garças,ERS Rondonópolis,29.5,28.38,0.8583333333333343,0,0
5100508,Alto Paraguai,ERS Diamantino,32.3,31.659999999999997,5.0249161421439315,0,0
5100607,Alto Taquari,ERS Rondonópolis,27.2,26.68,0.726666666666663,0,0
5100805,Apiacás,ERS Alta Floresta,31.4,31.28,8.029502365337237,0,0
5101001,Araguaiana,ERS Barra do Garças,34.2,32.760000000000005,8.578556730139493,1,1
5101209,Araguainha,ERS Rondonópolis,30.7,29.42,1.53285095157338,0,0
5101258,Araputanga,ERS Cáceres,29.9,29.619999999999997,2.1028578397833346,0,0
5101308,Arenápolis,ERS Tangará da Serra,32.0,31.520000000000003,4.781521069777835,0,0
5101407,Aripuanã,ERS Juína,31.5,31.340000000000003,7.231058620273421,0,0
5101605,Barão de Melgaço,ERS Cuiabá,32.9,32.18,5.714937409997809,0,0
5101704,Barra do Bugres,ERS Tangará da Serra,31.4,31.340000000000003,5.3408552196372625,0,0
5101803,Barra do Garças,ERS Barra do Garças,29.6,28.52,0.7454166666666708,0,0
5101837,Boa Esperança do Norte,ERS Sinop,31.6,31.240000000000002,4.726955428697259,0,0
5101852,Bom Jesus do Araguaia,ERS Água Boa,33.0,32.080000000000005,5.677555488582325,0,0
5101902,Brasnorte,ERS Juína,31.3,31.220000000000006,5.527037372073414,0,0
5102504,Cáceres,ERS Cáceres,29.8,29.560000000000002,1.2310271399422241,0,0
5102603,Campinápolis,ERS Barra do Garças,34.1,32.74,10.706524767683918,1,1
5102637,Campo Novo do Parecis,ERS Tangará da Serra,30.1,30.020000000000003,2.276054881882237,0,0
5102678,Campo Verde,ERS Rondonópolis,30.0,29.120000000000005,0.8089167102022685,0,0
5102686,Campos de Júlio,ERS Pontes e Lacerda,28.3,28.06,0.2639246040867409,0,0
5102694,Canabrava do Norte,ERS Porto Alegre do Norte,34.8,33.72,13.696858077563363,1,1
5102702,Canarana,ERS Água Boa,32.7,31.900000000000006,5.708420866686698,0,0
5102793,Carlinda,ERS Alta Floresta,31.8,31.520000000000003,7.6472337614400505,0,0
5102850,Castanheira,ERS Juína,31.0,30.92,5.395627264961682,0,0
5103007,Chapada dos Guimarães,ERS Cuiabá,31.4,30.6,2.3578519005022454,0,0
5103056,Cláudia,ERS Sinop,31.4,31.160000000000004,6.202977013688987,0,0
5103106,Cocalinho,ERS Água Boa,35.1,33.660000000000004,13.009026251702297,1,1
5103205,Colíder,ERS Colíder,32.2,31.760000000000005,7.274476793204471,0,0
5103254,Colniza,ERS Juína,32.0,31.720000000000006,8.603351057728391,0,0
5103304,Comodoro,ERS Pontes e Lacerda,28.6,28.8,1.3198153652239366,0,0
5103353,Confresa,ERS Porto Alegre do Norte,34.1,33.260000000000005,11.92727127271568,1,1
5103361,Conquista D'Oeste,ERS Pontes e Lacerda,27.8,27.56,0.0,0,0
5103379,Cotriguaçu,ERS Juína,31.5,31.260000000000005,7.807603999708917,0,0
5103403,Cuiabá,ERS Cuiabá,32.4,31.72,4.220634321715593,0,0
5103437,Curvelândia,ERS Cáceres,31.0,30.68,2.3857069986350528,0,0
5103452,Denise,ERS Tangará da Serra,32.2,31.800000000000004,5.696610348795565,0,0
5103502,Diamantino,ERS Diamantino,29.8,29.440000000000005,1.8774407315555468,0,0
5103601,Dom Aquino,ERS Rondonópolis,31.5,30.5,2.8476728742288984,0,0
5103700,Feliz Natal,ERS Sinop,31.7,31.300000000000004,6.370552179104495,0,0
5103809,Figueirópolis D'Oeste,ERS Pontes e Lacerda,30.7,30.46,2.042275971137803,0,0
5103858,Gaúcha do Norte,ERS Água Boa,32.4,31.840000000000003,6.7455853205794405,0,0
5103908,General Carneiro,ERS Barra do Garças,32.0,31.32,4.60650393424182,0,0
5103957,Glória D'Oeste,ERS Cáceres,30.6,30.28,3.0952544288821944,0,0
5104104,Guarantã do Norte,ERS Peixoto de Azevedo,31.2,30.840000000000003,5.886700773219523,0,0
5104203,Guiratinga,ERS Rondonópolis,31.7,30.520000000000003,2.923933404308963,0,0
5104500,Indiavaí,ERS Cáceres,30.9,30.58,1.881283975491133,0,0
5104526,Ipiranga do Norte,ERS Sinop,31.9,31.340000000000003,5.706012629606169,0,0
5104542,Itanhangá,ERS Sinop,31.3,31.1,5.852037569761688,0,0
5104559,Itaúba,ERS Colíder,31.6,31.240000000000002,6.986358632363867,0,0
5104609,Itiquira,ERS Rondonópolis,30.6,29.520000000000003,0.7028994964200272,0,0
5104807,Jaciara,ERS Rondonópolis,28.8,28.24,0.3255680295511283,0,0
5104906,Jangada,ERS Cuiabá,32.2,31.760000000000005,4.891342739146692,0,0
5105002,Jauru,ERS Pontes e Lacerda,28.3,28.02,0.13037457355948057,0,0
5105101,Juara,ERS Juara,31.3,31.120000000000005,6.5459592069061685,0,0
5105150,Juína,ERS Juína,31.0,31.080000000000005,5.0097633936644765,0,0
5105176,Juruena,ERS Juína,31.3,31.020000000000003,5.640350554599456,0,0
5105200,Juscimeira,ERS Rondonópolis,31.7,30.940000000000005,2.973069525381691,0,0
5105234,Lambari D'Oeste,ERS Cáceres,31.1,30.860000000000007,4.41611068919787,0,0
5105259,Lucas do Rio Verde,ERS Sinop,31.7,31.020000000000003,4.034517494179497,0,0
5105309,Luciara,ERS São Félix do Araguaia,34.0,33.160000000000004,13.851706513028708,1,1
5105507,Vila Bela da Santíssima Trindade,ERS Pontes e Lacerda,30.1,29.86,1.5530049074377903,0,0
5105580,Marcelândia,ERS Colíder,32.3,31.939999999999998,8.26173513602614,0,0
5105606,Matupá,ERS Peixoto de Azevedo,31.0,30.620000000000005,5.656537527690096,0,0
5105622,Mirassol d'Oeste,ERS Cáceres,30.1,29.78,1.280499233091133,0,0
5105903,Nobres,ERS Diamantino,32.2,31.560000000000002,3.8007259117022336,0,0
5106000,Nortelândia,ERS Diamantino,31.9,31.18,3.892733044748404,0,0
5106109,Nossa Senhora do Livramento,ERS Cuiabá,32.5,32.06,5.326662019097299,0,0
5106158,Nova Bandeirantes,ERS Alta Floresta,31.3,31.180000000000007,7.404425481532831,0,0
5106174,Nova Nazaré,ERS Água Boa,35.3,33.74,12.749363257139503,1,2
5106182,Nova Lacerda,ERS Pontes e Lacerda,31.6,31.240000000000002,4.623809630054996,0,0
5106190,Nova Santa Helena,ERS Colíder,31.1,30.740000000000002,4.825625123390681,0,0
5106208,Nova Brasilândia,ERS Cuiabá,31.4,30.840000000000003,4.076636081382315,0,0
5106216,Nova Canaã do Norte,ERS Colíder,31.5,31.300000000000004,7.09938290331506,0,0
5106224,Nova Mutum,ERS Sinop,32.0,31.120000000000005,3.57311902022397,0,0
5106232,Nova Olímpia,ERS Tangará da Serra,32.0,31.480000000000004,4.85670391626838,0,0
5106240,Nova Ubiratã,ERS Sinop,32.0,31.440000000000005,6.611550646413404,0,0
5106257,Nova Xavantina,ERS Barra do Garças,34.2,32.92000000000001,9.942920034311163,1,2
5106265,Novo Mundo,ERS Peixoto de Azevedo,32.3,32.02,8.387419256743978,0,0
5106273,Novo Horizonte do Norte,ERS Juara,31.4,31.160000000000004,6.749743019777835,0,0
5106281,Novo São Joaquim,ERS Barra do Garças,33.5,32.34,6.013006851267837,0,0
5106299,Paranaíta,ERS Alta Floresta,31.1,30.980000000000004,6.964592624450091,0,0
5106307,Paranatinga,ERS Rondonópolis,31.7,31.020000000000003,5.106259058001736,0,0
5106315,Novo Santo Antônio,ERS São Félix do Araguaia,34.7,33.580000000000005,11.236375745537854,0,0
5106372,Pedra Preta,ERS Rondonópolis,31.8,30.520000000000003,3.3421599167484004,0,0
5106422,Peixoto de Azevedo,ERS Peixoto de Azevedo,31.7,31.22,7.113684212217279,0,0
5106455,Planalto da Serra,ERS Cuiabá,31.9,31.300000000000004,4.532626124172838,0,0
5106505,Poconé,ERS Cuiabá,30.6,30.360000000000007,2.976247339793346,0,0
5106653,Pontal do Araguaia,ERS Barra do Garças,33.3,32.26,5.911354440937821,0,0
5106703,Ponte Branca,ERS Barra do Garças,31.8,31.040000000000006,4.477098137026193,0,0
5106752,Pontes e Lacerda,ERS Pontes e Lacerda,30.7,30.260000000000005,1.8917375594039463,0,0
5106778,Porto Alegre do Norte,ERS Porto Alegre do Norte,34.8,33.8,15.296476480775025,1,2
5106802,Porto dos Gaúchos,ERS Juara,31.0,30.720000000000006,5.322994586988351,0,0
5106828,Porto Esperidião,ERS Cáceres,30.0,29.800000000000004,1.9024751591905638,0,0
5106851,Porto Estrela,ERS Tangará da Serra,30.4,30.060000000000002,3.147488276550609,0,0
5107008,Poxoréu,ERS Rondonópolis,31.5,30.78,3.4379891085800427,0,0
5107040,Primavera do Leste,ERS Rondonópolis,30.9,30.259999999999998,3.2630680969328214,0,0
5107065,Querência,ERS Água Boa,31.9,31.340000000000003,6.039070431719452,0,0
5107107,São José dos Quatro Marcos,ERS Cáceres,30.5,30.32,2.480416040866718,0,0
5107156,Reserva do Cabaçal,ERS Cáceres,29.3,28.98,0.897247671628369,0,0
5107180,Ribeirão Cascalheira,ERS Água Boa,34.1,32.980000000000004,11.535547059670598,1,1
5107198,Ribeirãozinho,ERS Barra do Garças,33.2,32.440000000000005,7.073417762197861,0,0
5107206,Rio Branco,ERS Cáceres,30.5,30.260000000000005,3.5298476558067033,0,0
5107248,Santa Carmem,ERS Sinop,31.4,31.120000000000005,5.669318681616669,0,0
5107263,Santo Afonso,ERS Tangará da Serra,30.7,30.340000000000003,3.357420505401665,0,0
5107297,São José do Povo,ERS Rondonópolis,31.8,30.64,2.7091432879022754,0,0
5107305,São José do Rio Claro,ERS Diamantino,31.0,30.5,3.623021713598913,0,0
5107354,São José do Xingu,ERS Porto Alegre do Norte,32.1,31.500000000000007,6.225072598375704,0,0
5107404,São Pedro da Cipa,ERS Rondonópolis,32.3,31.5,4.406376862090614,0,0
5107578,Rondolândia,ERS Pontes e Lacerda,31.9,31.78,8.2523175155906,0,0
5107602,Rondonópolis,ERS Rondonópolis,31.1,30.54,3.1146874606306003,0,0
5107701,Rosário Oeste,ERS Diamantino,33.3,32.7,6.910064822055022,0,0
5107743,Santa Cruz do Xingu,ERS Porto Alegre do Norte,32.4,32.0,6.872169081671158,0,0
5107750,Salto do Céu,ERS Cáceres,31.6,31.480000000000004,4.825697066453337,0,0
5107768,Santa Rita do Trivelato,ERS Sinop,32.0,31.440000000000005,4.758053737344513,0,0
5107776,Santa Terezinha,ERS Porto Alegre do Norte,33.1,32.42,8.088791883734523,0,0
5107792,Santo Antônio do Leste,ERS Rondonópolis,32.0,30.880000000000003,2.7566916521622904,0,0
5107800,Santo Antônio de Leverger,ERS Cuiabá,31.3,30.740000000000002,2.9973699040422517,0,0
5107859,São Félix do Araguaia,ERS São Félix do Araguaia,32.7,32.10000000000001,7.633906892745614,0,0
5107875,Sapezal,ERS Tangará da Serra,30.4,30.32,3.034590928368896,0,0
5107883,Serra Nova Dourada,ERS São Félix do Araguaia,35.4,33.92,12.362934799761682,0,0
5107909,Sinop,ERS Sinop,30.8,30.440000000000005,4.284904617253398,0,0
5107925,Sorriso,ERS Sinop,31.8,31.32,5.0670817130061945,0,0
5107941,Tabaporã,ERS Juara,30.8,30.64,5.573439720823327,0,0
5107958,Tangará da Serra,ERS Tangará da Serra,28.7,28.18,0.3591340927389055,0,0
5108006,Tapurah,ERS Sinop,31.6,31.18,5.585070322528425,0,0
5108055,Terra Nova do Norte,ERS Peixoto de Azevedo,31.8,31.360000000000007,6.402261113599517,0,0
5108105,Tesouro,ERS Rondonópolis,32.7,31.940000000000005,4.943418935186136,0,0
5108204,Torixoréu,ERS Barra do Garças,32.2,31.400000000000006,3.906222705203886,0,0
5108303,União do Sul,ERS Sinop,31.7,31.22,6.347046364921736,0,0
5108352,Vale de São Domingos,ERS Pontes e Lacerda,28.9,28.7,0.6160919141594885,0,0
5108402,Várzea Grande,ERS Cuiabá,33.1,32.540000000000006,6.255613665853392,0,0
5108501,Vera,ERS Sinop,31.6,31.040000000000006,5.164055614322267,0,0
5108600,Vila Rica,ERS Porto Alegre do Norte,32.3,31.5,5.6046721245085855,0,0
5108808,Nova Guarita,ERS Colíder,32.2,31.840000000000003,7.930198113715642,0,0
5108857,Nova Marilândia,ERS Tangará da Serra,31.4,31.0,4.589273480995571,0,0
5108907,Nova Maringá,ERS Diamantino,30.7,30.5,3.41329468685945,0,0
5108956,Nova Monte Verde,ERS Alta Floresta,31.0,30.840000000000003,6.441279162921187,0,0
